taxa_key|id|notes|species|species_hybrid|common_name|binomial_name|kingdom|family|genus|web_photos|web_url
A|3|Native to Europe, aka White Poplar|P. alba Linnaeus|0|White Poplar|0|Plantae|Salicaceae|Populus|0|http://en.wikipedia.org/wiki/Populus_alba
GT|4|Occurs naturally, susceptible to BLD|0|P. grandidentata x P. tremuloides|A.k.a P. xbarnesii|P. xsmithii Boivin|Plantae|Salicaceae|Populus|0|0
TG|5|Occurs naturally, susceptible to BLD|0|P. tremuloides x P. grandidentata|A.k.a P. xbarnesii|P. xsmithii Boivin|Plantae|Salicaceae|Populus|0|0
AG|6|Occurs where P. alba females are present.|0|P. alba x P. grandidentata|AG|P. xrouleauiana Bovin|Plantae|Salicaceae|Populus|0|0
GA|7|Not common in the wild since most P. albas are females and P. grandidentata seed has more exacting requirements.|0|P. grandidentata x P. alba|GA|P. xrouleauiana Bovin|Plantae|Salicaceae|Populus|0|0
AT|8|Not as common in the wild as AG|0|P. alba x P. tremuloides|0|P. xheimburgeri Boivin|Plantae|Salicaceae|Populus|0|0
AE|9|A valuable cross - used by itself or with CAGs|0|P. alba x P. tremula|gray poplar|P. xcanescens Smith|Plantae|Salicaceae|Populus|0|0
G|10|Native to NE USA.|P. grandidentata Michaux|0|Big Tooth aspen|0|Plantae|Salicaceae|Populus|0|http://en.wikipedia.org/wiki/Populus_grandidentata
T|11|Native to Northern North America|P. tremuloides Michaux|0|Small Tooth aspen|0|Plantae|Salicaceae|Populus|0|http://en.wikipedia.org/wiki/Populus_tremuloides
E|12|Native to Europe|P. tremula Linnaeus|0|European Aspen|0|Plantae|Salicaceae|Populus|0|http://en.wikipedia.org/wiki/Populus_tremula
CAG|13|A double hybrid cross pioneered by the Canadians and known for diversity with some good rooting individuals despite poor rooting parents.|0|(P. alba x P. grandidentata) x P. canescens|CAG|0|Plantae|Salicaceae|Populus|0|0
CAGW|14|Describes an open pollinated (Wind) CAG cross.  They may have potential for interesting recombinations.|0|(P. canescens x (P. alba x P. grandidentata)) x OP|CAGW|0|Plantae|Salicaceae|Populus|0|0
B|15|Alternate name for CAG crosses for brevity.  A double hybrid cross pioneered by the Canadians and known for diversity with some good rooting individuals despite poor rooting parents.|0|(P. alba x P. grandidentata) x P. canescens|CAG|0|Plantae|Salicaceae|Populus|0|0
R|16|Alternate name for AG/GA crosses (P. xrouleauiana) for brevity.|0|P. alba x P. grandidentata (and reciprocal)|AG or GA|P. xrouleauiana Bovin|Plantae|Salicaceae|Populus|0|0
S|17|Alternate name for the TG/GT smithii (P. xsmithii Boivin) crosses for brevity |0|P. tremuloides x P. grandidentata (and reciprocal)|TG or GT|P. xsmithii Boivin|Plantae|Salicaceae|Populus|0|0
W|18|W stands for Wind pollinated. Therefore the exact male parent is unknown.|Wind Pollinated|0|Open Pollinated|NA|NA|NA|NA|0|0
